age_group,male,female
0_19,72.146,78.17600000000002
20_29,57.391999999999996,63.330000000000005
30_39,47.667,53.491
40_49,38.05800000000001,43.757999999999996
50_59,28.817999999999994,34.267999999999994
60_69,20.277,25.095999999999997
70_79,12.803,16.427
80_99,4.9735,6.440999999999998
