date,sex,group,infection_death
2020-09-01,female,50_59,0.0
2020-10-01,male,50_59,5.541372495804841
2020-10-01,female,50_59,0.6799146865471447
2020-11-01,male,50_59,11.82652352678002
2020-11-01,female,50_59,0.9656732647245254
2020-12-01,male,50_59,20.193149032662717
2020-12-01,female,50_59,1.8339968521433203
2021-01-01,male,50_59,40.603232021084736
2021-01-01,female,50_59,4.897975955100586
2021-02-01,male,50_59,24.02794297231274
2021-02-01,female,50_59,8.355200622785986
2021-03-01,male,50_59,21.946422819904367
2021-03-01,female,50_59,4.775640605966289
2021-04-01,male,50_59,21.61493350573449
2021-04-01,female,50_59,8.338017131898994
2021-05-01,male,50_59,70.2102321614334
2021-05-01,female,50_59,18.572845614280133
2021-06-01,male,50_59,38.20316212537352
2021-06-01,female,50_59,15.06345996579283
2021-07-01,male,50_59,12.718128390596746
2021-07-01,female,50_59,8.05299607627746
2020-03-01,male,60_69,2.63808864265928
2020-03-01,female,60_69,2.5087719298245617
2020-04-01,male,60_69,44.9981268139485
2020-04-01,female,60_69,5.051281244527839
2020-05-01,male,60_69,37.386276970309815
2020-05-01,female,60_69,5.748329095969122
2020-06-01,male,60_69,2.616438858147972
2020-06-01,female,60_69,1.2704174228675136
2020-07-01,male,60_69,5.433789039306496
2020-07-01,female,60_69,0.3358333333333334
2020-08-01,male,60_69,17.496377558344612
2020-08-01,female,60_69,3.986544666718666
2020-09-01,male,60_69,27.816178547885865
2020-09-01,female,60_69,10.639210639210638
2020-10-01,male,60_69,20.970685876267197
2020-10-01,female,60_69,4.292651423971783
2020-11-01,male,60_69,16.80112484814907
2020-11-01,female,60_69,7.171515936189094
2020-12-01,male,60_69,68.24033893735897
2020-12-01,female,60_69,21.410287061117725
2021-01-01,male,60_69,115.92958289114485
2021-01-01,female,60_69,23.132598035935104
2021-02-01,male,60_69,86.39329187550777
2021-02-01,female,60_69,33.15861584599366
2021-03-01,male,60_69,79.21834896546032
2021-03-01,female,60_69,23.39013337686493
2021-04-01,male,60_69,59.842366001454266
2021-04-01,female,60_69,11.744605708589823
2021-05-01,male,60_69,152.79819184457938
2021-05-01,female,60_69,53.68939447655194
2021-06-01,male,60_69,105.58135896539956
2021-06-01,female,60_69,44.68229058648619
2021-07-01,male,60_69,38.49412835217712
2021-07-01,female,60_69,10.786517864271312
2020-03-01,male,70_79,19.7856648199446
2020-03-01,female,70_79,2.5087719298245617
2020-04-01,male,70_79,69.02569802063466
2020-04-01,female,70_79,40.11459588587052
2020-05-01,male,70_79,83.64088342562854
2020-05-01,female,70_79,38.13686533014268
2020-06-01,male,70_79,19.62329143610979
2020-06-01,female,70_79,7.622504537205082
2020-07-01,male,70_79,3.4622372639829
2020-07-01,female,70_79,3.454285714285714
2020-08-01,male,70_79,55.57672871474171
2020-08-01,female,70_79,12.956270166835663
2020-09-01,male,70_79,60.26838685375271
2020-09-01,female,70_79,26.5980265980266
2020-10-01,male,70_79,45.55700724844253
2020-10-01,female,70_79,15.02427998390124
2020-11-01,male,70_79,59.85400727153106
2020-11-01,female,70_79,25.612556914961047
2020-12-01,male,70_79,208.62046475135452
2020-12-01,female,70_79,72.0164201146687
2021-01-01,male,70_79,313.0098738060911
2021-01-01,female,70_79,111.0364705724885
2021-02-01,male,70_79,355.4984314474206
2021-02-01,female,70_79,141.56843296216437
2021-03-01,male,70_79,214.75996736608425
2021-03-01,female,70_79,95.85768355984746
2021-04-01,male,70_79,152.8394066216747
2021-04-01,female,70_79,96.26142010983466
2021-05-01,male,70_79,468.24000638044186
2021-05-01,female,70_79,242.50495576435023
2021-06-01,male,70_79,273.6101253207128
2021-06-01,female,70_79,146.72016259897612
2021-07-01,male,70_79,96.07958547302086
2021-07-01,female,70_79,32.94958533923561
2020-03-01,male,80_99,27.69993074792244
2020-03-01,female,80_99,7.526315789473684
2020-04-01,male,80_99,124.22022577471738
2020-04-01,female,80_99,111.24770711018037
2020-05-01,male,80_99,121.7174352563771
2020-05-01,female,80_99,115.61366158810901
2020-06-01,male,80_99,20.41756751804756
2020-06-01,female,80_99,17.014519056261342
2020-07-01,male,80_99,10.3867117919487
2020-07-01,female,80_99,4.605714285714286
2020-08-01,male,80_99,93.65707987113882
2020-08-01,female,80_99,71.75780400093598
2020-09-01,male,80_99,101.9926546755815
2020-09-01,female,80_99,106.3921063921064
2020-10-01,male,80_99,74.73240444234742
2020-10-01,female,80_99,51.9796060248891
2020-11-01,male,80_99,115.051435372057
2020-11-01,female,80_99,120.31195398081815
2020-12-01,male,80_99,435.98827536462085
2020-12-01,female,80_99,360.8307120090469
2021-01-01,male,80_99,664.1696008408272
2021-01-01,female,80_99,684.8315651399254
2021-02-01,male,80_99,839.4050924178932
2021-02-01,female,80_99,846.3862315973638
2021-03-01,male,80_99,479.43075017800413
2021-03-01,female,80_99,440.5275644245577
2021-04-01,male,80_99,309.1509456512268
