date,pre_covid,post_covid
2020-03-31,2.37857142857143,
2020-06-30,2.37857142857143,
2020-09-30,2.37857142857143,
2020-12-31,2.39285714285714,
2021-03-31,2.40714285714286,
2021-06-30,2.38571428571429,2.86842105263158
2021-09-30,2.37142857142857,2.88947368421053
2021-12-31,2.36428571428571,2.86315789473684
2022-03-31,2.36428571428571,2.82631578947368
2022-06-30,2.37142857142857,2.67368421052632
2022-09-30,2.37142857142857,2.6421052631579
2022-12-31,2.37142857142857,2.58421052631579
2023-03-31,2.37142857142857,2.56842105263158
