date,pre_covid,post_covid
2020-03-31,2.3785714285714300,
2020-06-30,2.3785714285714300,
2020-09-30,2.3785714285714300,
2020-12-31,2.392857142857140,
2021-03-31,2.4071428571428600,
2021-06-30,2.3857142857142900,2.8866666666666700
2021-09-30,2.371428571428570,2.92
2021-12-31,2.364285714285710,2.8933333333333300
2022-03-31,2.3642857142857100,2.8466666666666700
2022-06-30,2.371428571428570,2.7200000000000000
2022-09-30,2.371428571428570,2.6800000000000000
2022-12-31,2.371428571428570,2.606666666666670
2023-03-31,2.371428571428570,2.5866666666666700
