,lower_bound,upper_bound
2008-01-01,264.61656167134345,306.5581849842108
2008-02-01,235.16914506951733,278.69790447928904
2008-03-01,326.71786470714216,379.2855765293713
2008-04-01,296.82164506208505,342.7160300985679
2008-05-01,306.5188670327645,353.439673078063
2008-06-01,276.16915624493316,324.07646332472035
2008-07-01,270.77897763194557,318.2106497942561
2008-08-01,255.69038476344636,298.44704536585414
2008-09-01,266.8796697538108,309.84768388889864
2008-10-01,259.26414231102143,304.6017363026396
2008-11-01,256.28130914451674,297.38776290633155
2008-12-01,248.5615141323112,288.5118811764095
2009-01-01,262.27626565966665,292.9875538007154
2009-02-01,237.4138941111161,266.1667089807927
2009-03-01,328.6735384376168,357.6961499729846
2009-04-01,295.36966315627717,324.5640647972133
2009-05-01,304.4322650208104,333.8132011474187
2009-06-01,277.59663285497,306.60443337858845
2009-07-01,274.07835338658197,302.79665983827385
2009-08-01,256.31002239936345,284.8617815431917
2009-09-01,267.1743792458797,296.27829106903624
2009-10-01,262.0189222876031,290.84736081358585
2009-11-01,253.76306065132775,282.30610979951217
2009-12-01,246.19914707191276,274.8445495405849
2010-01-01,258.0862897756107,282.50140405165234
2010-02-01,233.0532204261814,257.6670959314466
2010-03-01,316.7378024711007,342.0141900851208
2010-04-01,284.70079841713004,309.3019355555349
2010-05-01,293.4521920100789,319.3243467222568
2010-06-01,268.40284266813205,295.4244245918136
2010-07-01,263.098963159099,287.8107690068801
2010-08-01,246.97042532337608,271.5887611845086
2010-09-01,256.57680299253485,281.18529458819995
2010-10-01,252.77737087303936,277.7334122831803
2010-11-01,243.6619529244501,269.330877116102
2010-12-01,235.88739174793264,260.5078024094865
2011-01-01,249.40651497882416,270.779256752614
2011-02-01,225.35948952240585,246.16243235649597
2011-03-01,301.9882168463602,323.10330537475994
2011-04-01,272.6014263515421,293.6532886191391
2011-05-01,278.89097443803416,300.1086527126006
2011-06-01,256.3602350726638,277.50904893861747
2011-07-01,253.27948477854713,274.31165936533364
2011-08-01,238.0967305000795,259.17726501985777
2011-09-01,244.8865623005185,266.71555325078265
2011-10-01,241.94289623575318,263.41610172991284
2011-11-01,232.18531516958916,253.2363983478657
2011-12-01,225.92433819237752,247.47328467483695
2012-01-01,240.28725971704552,261.16895641710016
2012-02-01,218.38588784413332,239.26808130581873
2012-03-01,288.6599097082038,308.5567179719849
2012-04-01,260.4024071229463,280.05406640972916
2012-05-01,266.2195933368868,284.7642662577039
2012-06-01,245.16487873538287,263.28434277234624
2012-07-01,243.04340932119763,261.52632221710405
2012-08-01,228.63884122697823,246.83475239697316
2012-09-01,235.97421064985897,254.16356166860967
2012-10-01,233.162204351485,251.2137570766298
2012-11-01,219.25929985024425,238.34217259647824
2012-12-01,214.2579190275307,232.52899322182816
2013-01-01,230.8695344909147,246.8014147528121
2013-02-01,210.76853305048417,226.83603706489265
2013-03-01,273.3619938422961,289.4486270776089
2013-04-01,247.40038099865177,264.6217801515954
2013-05-01,251.81643844086707,267.85282247245954
2013-06-01,233.22940410125744,249.38024688035517
2013-07-01,229.65342486336021,247.16364718654359
2013-08-01,218.4519056296348,234.4717015500531
2013-09-01,224.81889783577984,240.85034987731515
2013-10-01,222.70411250062253,238.77291935085745
2013-11-01,208.81372523332004,224.8620013078471
2013-12-01,202.28153871665535,219.33137926513774
2014-01-01,220.1471327229479,235.49491031663143
2014-02-01,200.8380106938787,216.7889319319358
2014-03-01,257.95618575696415,273.41200965742826
2014-04-01,231.69543181195567,248.23684407610128
2014-05-01,236.53709474206983,251.9045333704023
2014-06-01,221.46182488794702,236.84097625977742
2014-07-01,219.86775772969003,235.12576229181155
2014-08-01,205.76605560829037,222.5736615162647
2014-09-01,211.74220600395847,227.86407528850805
2014-10-01,211.31217120599533,227.02603350236703
2014-11-01,196.43474935168018,211.73669533363773
2014-12-01,191.30201106044635,206.928786076181
2015-01-01,211.2168490454457,227.29793514745137
2015-02-01,193.77132780589412,208.5324159557325
2015-03-01,241.454679993182,258.0792012365532
2015-04-01,218.22706073702625,234.6246652014401
2015-05-01,220.82868688555018,237.05287469235154
2015-06-01,207.40459034468967,223.67934471472614
2015-07-01,207.45443166915712,223.46599844161628
2015-08-01,196.17900928258294,212.18931878346652
2015-09-01,200.4166117938266,216.45350090461048
2015-10-01,200.00007474532902,216.2448127904894
2015-11-01,183.3135788591431,199.35424587269551
2015-12-01,179.61684489326333,195.62117880637155
2016-01-01,199.30640493574808,215.56495158397857
2016-02-01,184.5626508454439,200.49868473713138
2016-03-01,226.09573334105713,244.21533286223675
2016-04-01,204.32944419443353,222.60022074563315
2016-05-01,205.23377180970337,223.2863671472172
2016-06-01,194.10097619822307,212.1579420786672
2016-07-01,193.58926022264927,211.92371716918876
2016-08-01,184.42305255095076,202.53532245679898
2016-09-01,187.53796848085773,205.58951057370695
2016-10-01,188.5877972479374,206.72545954223008
2016-11-01,169.48244468066466,187.58606883841728
2016-12-01,166.40525030877754,184.45835549965355
2017-01-01,188.32590905045845,206.45806957710482
2017-02-01,173.70104708584745,192.33045212479675
2017-03-01,208.19806054218736,229.44718425319957
2017-04-01,188.54770364863694,209.57879958661098
2017-05-01,189.09773875151205,210.8304717051688
2017-06-01,179.65264994734727,200.7176702722343
2017-07-01,181.08091353389685,202.39452982396742
2017-08-01,171.90996441956702,192.99350689075436
2017-09-01,173.97929537235416,195.01046774459803
2017-10-01,175.20932998443755,196.3714181039802
2017-11-01,154.90800109595244,176.14003900592115
2017-12-01,152.9461213978515,173.98234229116926
2018-01-01,175.83464353405307,197.30495459180284
2018-02-01,163.865200333576,185.04272594796618
2018-03-01,191.20252466230602,215.83527667308977
2018-04-01,171.94832774887595,196.85381079671993
2018-05-01,169.84014001384227,195.58721402232877
2018-06-01,165.13959642264027,189.75057387169394
2018-07-01,166.8821949416352,191.4899861411938
2018-08-01,158.62610117498193,183.26745402773335
2018-09-01,158.7679757431519,184.1863442233029
2018-10-01,161.41384355880336,186.6765115637303
2018-11-01,140.9564958115892,165.5568239159412
2018-12-01,138.8724082767482,163.48123388855228
2019-01-01,164.6420398828129,188.79484035713804
2019-02-01,153.78937791340678,178.00630374542328
2019-03-01,174.40034344759678,203.2763300018875
2019-04-01,156.99280098556463,185.576887245441
2019-05-01,154.9134552026363,183.60243644112003
2019-06-01,150.92508496617702,179.6747657358853
2019-07-01,152.76365272184785,181.30667899366284
2019-08-01,146.121384662815,174.7135947354816
2019-09-01,146.959752346655,176.98439625444664
2019-10-01,150.25315195568865,180.63564804869085
2019-11-01,126.84944869964662,155.9894189502181
2019-12-01,125.42111711958209,154.2402051249153
2020-01-01,153.68228360909868,181.50577942935277
2020-02-01,144.72018171378684,173.27477734655204
2020-03-01,157.04759325825933,191.9252625355357
2020-04-01,141.5281429514197,176.76503298494796
2020-05-01,138.08920262890953,173.82405199231627
2020-06-01,136.37552041735208,172.04709433376732
2020-07-01,139.26993577264935,175.63346410823792
2020-08-01,133.50005269531113,169.72983299679453
2020-09-01,132.85327407806045,168.8605160475201
2020-10-01,136.86971804660115,173.71821277047948
2020-11-01,112.07630902498421,148.50192455176523
2020-12-01,111.35824399628794,148.4574712459926
2021-01-01,141.84104773048423,175.5679367076269
2021-02-01,134.28594523420955,168.10522413352564
2021-03-01,139.20826825571464,180.71842872594567
2021-04-01,125.2507131437568,167.12631455337697
2021-05-01,120.59783010188328,163.10017000270167
2021-06-01,121.22478736083585,163.60713908669177
2021-07-01,124.7692583717112,168.01830005251628
2021-08-01,120.09932584290081,163.0465289564681
2021-09-01,118.49329869073334,161.05020090689814
2021-10-01,123.25822388645192,166.87961046450457
2021-11-01,96.97514012096799,139.90884207879813
2021-12-01,96.87565243574514,140.58328227149855
2022-01-01,129.635893870105,168.67979761335027
2022-02-01,123.67115780901791,162.80212185795847
2022-03-01,121.23807226636379,169.27326404107887
2022-04-01,108.84361469542574,157.36042868450266
2022-05-01,102.96391721920614,152.3743580748816
2022-06-01,105.9117163306343,155.2492605389367
2022-07-01,110.10298238281312,160.55268232988215
2022-08-01,106.52017331747903,156.58980735377315
2022-09-01,103.94059869544039,153.54497615835618
2022-10-01,109.43593730365455,160.42837538478483
2022-11-01,81.65402040380137,131.7764942420814
2022-12-01,82.16602644487214,133.2090160601813
2023-01-01,117.23685394123999,162.2905374301527
2023-02-01,112.85589777013539,158.036589548423
2023-03-01,103.0795958225887,158.27321588860596
2023-04-01,92.27328944427494,147.93434442205296
2023-05-01,85.18852718954406,141.88633682328646
2023-06-01,90.46402161166692,147.090214699439
2023-07-01,95.31685458064982,153.23902093025902
2023-08-01,92.8339102159775,150.2401963271575
2023-09-01,89.28340998351086,146.12818787157744
2023-10-01,95.51971856978018,154.038967946395
2023-11-01,66.24163950073151,123.68725082664787
2023-12-01,67.37394726124302,125.86904627700017
2024-01-01,104.74454873762967,155.94638575708044
2024-02-01,101.94687029058183,153.31666791493853
2024-03-01,84.8424272797079,147.31975532549208
2024-04-01,75.62719623811832,138.56797585973754
2024-05-01,67.33615945936094,131.47529327220872
2024-06-01,74.93824944536186,139.00924630727897
2024-07-01,80.45818162918391,145.99790467993847
2024-08-01,79.0768499759856,143.96138243903266
2024-09-01,74.55423553979506,138.7833853165841
2024-10-01,81.53480597963193,147.7182543642795
2024-11-01,50.759733737843845,115.66753227103214
2024-12-01,52.516912535933784,118.59403203550005
