,lower_bound,upper_bound
2008-01-01,99.14211191102392,137.58526771351814
2008-02-01,86.97319383419746,125.13948921706204
2008-03-01,118.96727583180143,162.7836767015068
2008-04-01,107.32375649430026,150.31884401180787
2008-05-01,117.87558517954068,161.05919934605294
2008-06-01,91.78170618975346,132.7932465578979
2008-07-01,127.07661501797524,167.9060192186247
2008-08-01,118.19928168893149,156.82226886061306
2008-09-01,91.07089455302619,129.67322923582287
2008-10-01,118.05919028064474,154.3395313700266
2008-11-01,108.31232546598383,141.11899042404232
2008-12-01,105.56021860302326,135.7121744724367
2009-01-01,98.65356856385968,126.5120116113376
2009-02-01,87.22987663259673,111.57284944517284
2009-03-01,117.54880518012575,142.1531452199836
2009-04-01,106.2017449265116,130.17955168407573
2009-05-01,116.12085289949641,139.4940275084661
2009-06-01,91.60280887775397,114.6177033203754
2009-07-01,120.66152203779319,144.3180797143861
2009-08-01,113.43352631082502,136.8129780088297
2009-09-01,88.33308415861947,112.31580508373392
2009-10-01,110.51543139868429,134.61868506526454
2009-11-01,102.43223309064095,126.38492964816311
2009-12-01,99.46349162639993,122.84676773516162
2010-01-01,95.800051983065,114.09174175731067
2010-02-01,84.07346253741325,102.51262692786015
2010-03-01,112.67893618477333,132.64184363987894
2010-04-01,101.80649097403229,121.88022608626683
2010-05-01,111.86044155367647,131.874391283928
2010-06-01,89.79037902943176,110.37158211719304
2010-07-01,116.97091877646079,137.01274252978385
2010-08-01,110.14486792698972,130.57602516759704
2010-09-01,88.51413591622239,109.23602186178888
2010-10-01,105.87596749268204,127.17448543607188
2010-11-01,99.70065305201547,120.8449696473557
2010-12-01,95.65587513376903,116.24394516997083
2011-01-01,93.04226662020048,109.41127764335369
2011-02-01,83.19701278987675,98.98706773739927
2011-03-01,109.87473554423542,126.73686448138932
2011-04-01,99.89587046257677,116.7589000112813
2011-05-01,109.81721587344576,126.73906883672619
2011-06-01,90.91031011201545,107.80874308101147
2011-07-01,112.37951328813733,129.35759557551233
2011-08-01,108.55319390778507,125.42824072212917
2011-09-01,90.97112283040009,108.5395290855452
2011-10-01,103.88943752820859,120.75451344141078
2011-11-01,99.0598163561931,116.01736550384857
2011-12-01,93.19187809259952,110.22478677387605
2012-01-01,91.95472104455126,105.52561761422285
2012-02-01,81.62878093561305,95.14665772083093
2012-03-01,105.93149171070603,120.11169223614739
2012-04-01,96.64854778320831,110.80189106537627
2012-05-01,106.2096342117731,120.22544554203515
2012-06-01,90.40675761326196,104.50545811246226
2012-07-01,107.566165125654,121.68445736675461
2012-08-01,105.3233670432382,119.30065860373524
2012-09-01,89.46399060448206,103.53466645519185
2012-10-01,99.55706020828876,113.52983759113323
2012-11-01,96.7453952986252,110.74216934835206
2012-12-01,89.18068520826604,103.67658675992273
2013-01-01,90.4590004510664,101.6433983188306
2013-02-01,79.98343632429425,91.48076631362386
2013-03-01,103.01735161734622,114.36793974829929
2013-04-01,94.31471999163477,105.66193980747133
2013-05-01,102.88598996576403,114.34976246889681
2013-06-01,90.90765216012397,102.38626658783929
2013-07-01,103.68162800902203,115.27300908707747
2013-08-01,100.88015540748958,112.67031143639119
2013-09-01,89.4005604968255,100.74257550590733
2013-10-01,93.81915584152351,105.63008235258808
2013-11-01,93.65911485084794,105.18967856214638
2013-12-01,87.25063994838098,98.9021072893062
2014-01-01,89.40177444752929,98.90576651439874
2014-02-01,79.97233679165952,89.91064740940145
2014-03-01,100.01091572772735,109.49146148639055
2014-04-01,91.90843394112004,101.37782196662126
2014-05-01,100.54076181634404,110.36762901304799
2014-06-01,89.88067628305136,99.02632898686328
2014-07-01,97.61319816494445,106.90920495669964
2014-08-01,98.8657571434788,108.69432151782068
2014-09-01,89.41239871703348,98.91283341509686
2014-10-01,90.17355304628452,99.3468264933451
2014-11-01,91.84287414692271,101.50329890204524
2014-12-01,83.27238976878114,92.60857988407047
2015-01-01,86.91735615572759,94.7104816641247
2015-02-01,77.7058175372476,85.44451548087112
2015-03-01,95.81192616090009,103.79931565021998
2015-04-01,88.32233223794498,96.29595697634196
2015-05-01,96.5214282738457,104.49666329293565
2015-06-01,88.90498417890534,96.73864435239436
2015-07-01,92.58836597091302,100.4256440874738
2015-08-01,94.3959270248227,102.2277754949358
2015-09-01,87.71190547085558,95.595957202515
2015-10-01,85.14082644118008,93.37949900762294
2015-11-01,88.06353168149346,95.89897834283298
2015-12-01,78.6297508893966,86.46105417952214
2016-01-01,84.30115461241918,91.62953664453862
2016-02-01,75.55885917278512,82.79436146262158
2016-03-01,90.40883695159731,98.35666008304729
2016-04-01,83.5055548997774,91.4764410383741
2016-05-01,91.7049136565561,99.5427179639656
2016-06-01,87.21884697886766,95.05656581946018
2016-07-01,86.65089676159317,94.75649415914498
2016-08-01,89.30536345552589,97.27753059957898
2016-09-01,86.57258819219923,94.55535842713108
2016-10-01,78.96443250917204,86.83468556927505
2016-11-01,83.83408054584159,91.68858168922254
2016-12-01,73.7048338116595,81.53597753739676
2017-01-01,80.65504391472395,88.42885443322344
2017-02-01,73.11705887869043,81.35012721556193
2017-03-01,85.82043704440665,95.2597560302892
2017-04-01,79.55748707307323,88.95563094790715
2017-05-01,84.98046643667708,95.27435677355221
2017-06-01,84.8416170302248,93.99078774982164
2017-07-01,79.39095854424508,88.53579554660567
2017-08-01,84.59851086092226,93.77251268518344
2017-09-01,83.87933074145432,93.02791508556761
2017-10-01,72.19145104307212,81.33620697816436
2017-11-01,79.71310064065916,89.11404319155771
2017-12-01,68.2668559252587,77.43259835421559
2018-01-01,77.7830942360538,88.28338740802117
