date,gender_group,age_group,value
2009-12-01,male,0_19,28.136316249844484
2010-01-01,male,0_19,46.37107574886823
2010-02-01,male,0_19,27.113388851787043
2010-03-01,male,0_19,26.22027596534125
2010-04-01,male,0_19,26.178635106488333
2010-05-01,male,0_19,31.302256166907377
2010-06-01,male,0_19,35.234160392937824
2010-07-01,male,0_19,29.17401689773131
2010-08-01,male,0_19,25.223693666813276
2010-09-01,male,0_19,34.32304443149499
2010-10-01,male,0_19,23.27888524177111
2010-11-01,male,0_19,30.212727457531507
2010-12-01,male,0_19,33.20715082263307
2011-01-01,male,0_19,30.864965370425757
2011-02-01,male,0_19,15.487398875709944
2011-03-01,male,0_19,27.830237716884763
2011-04-01,male,0_19,44.40461776781831
2011-05-01,male,0_19,51.39521997272633
2011-06-01,male,0_19,42.170940950813375
2011-07-01,male,0_19,38.27054013160226
2011-08-01,male,0_19,33.9034430120165
2011-09-01,male,0_19,41.342750887659044
2011-10-01,male,0_19,27.780905119862883
2011-11-01,male,0_19,40.0841837874046
2011-12-01,male,0_19,27.802523089456397
2012-01-01,male,0_19,20.79315434830421
2012-02-01,male,0_19,31.243329433276944
2012-03-01,male,0_19,29.112965784944727
2012-04-01,male,0_19,31.241201676481293
2012-05-01,male,0_19,43.62463292531672
2012-06-01,male,0_19,36.480029916681225
2012-07-01,male,0_19,39.66336098603433
2012-08-01,male,0_19,39.59205403024361
2012-09-01,male,0_19,36.58665968452403
2012-10-01,male,0_19,33.26051609389957
2012-11-01,male,0_19,31.151921204208698
2012-12-01,male,0_19,30.2823780147881
2013-01-01,male,0_19,38.50547445082671
2013-02-01,male,0_19,15.953360781200422
2013-03-01,male,0_19,23.546072096776165
2013-04-01,male,0_19,46.9477742308388
2013-05-01,male,0_19,22.472829429448563
2013-06-01,male,0_19,34.19791130177619
2013-07-01,male,0_19,39.64974161832691
2013-08-01,male,0_19,29.974669718156484
2013-09-01,male,0_19,30.92737759453557
2013-10-01,male,0_19,38.478960790211616
2013-11-01,male,0_19,36.303879764544625
2013-12-01,male,0_19,19.2043766188824
2014-01-01,male,0_19,33.101522574755705
2014-02-01,male,0_19,25.889229000837947
2014-03-01,male,0_19,31.05181274533267
2014-04-01,male,0_19,37.21352125268321
2014-05-01,male,0_19,34.15653629769333
2014-06-01,male,0_19,27.911797906584262
2014-07-01,male,0_19,29.979095220607363
2014-08-01,male,0_19,35.198169734603745
2014-09-01,male,0_19,41.402257925627495
2014-10-01,male,0_19,28.96264200191459
2014-11-01,male,0_19,25.862516446577303
2014-12-01,male,0_19,23.86528429019462
2015-01-01,male,0_19,32.86001610589168
2015-02-01,male,0_19,36.13943279998187
2015-03-01,male,0_19,38.3339271194964
2015-04-01,male,0_19,38.24262130289781
2015-05-01,male,0_19,34.103204335128
2015-06-01,male,0_19,36.178918937959764
2015-07-01,male,0_19,30.78966847775356
2015-08-01,male,0_19,34.087290268555705
2015-09-01,male,0_19,28.814818915380236
2015-10-01,male,0_19,24.453294008074877
2015-11-01,male,0_19,30.81570526351341
2015-12-01,male,0_19,22.339590529027205
2016-01-01,male,0_19,40.95662641800391
2016-02-01,male,0_19,21.082582647863
2016-03-01,male,0_19,16.823550424669605
2016-04-01,male,0_19,35.79441464961046
2016-05-01,male,0_19,32.549339556843094
2016-06-01,male,0_19,22.0726109323286
2016-07-01,male,0_19,27.395877260278322
2016-08-01,male,0_19,29.408582140691003
2016-09-01,male,0_19,33.78992717567901
2016-10-01,male,0_19,38.887743371563886
2016-11-01,male,0_19,33.70490579169996
2016-12-01,male,0_19,23.132989301931055
2017-01-01,male,0_19,38.051836904556694
2017-02-01,male,0_19,33.626607226685294
2017-03-01,male,0_19,30.360251214440375
2017-04-01,male,0_19,35.811687676683945
2017-05-01,male,0_19,24.9934888019756
2017-06-01,male,0_19,34.70028318994758
2017-07-01,male,0_19,26.073322698519046
2017-08-01,male,0_19,41.24117858802957
2017-09-01,male,0_19,45.58002588765841
2017-10-01,male,0_19,29.398116166364808
2017-11-01,male,0_19,28.177793071853984
2017-12-01,male,0_19,29.29853031653435
2018-01-01,male,0_19,32.505707311646276
2018-02-01,male,0_19,23.837884951539564
2018-03-01,male,0_19,20.58265316086876
2018-04-01,male,0_19,32.64933776253427
2018-05-01,male,0_19,39.10519628289617
2018-06-01,male,0_19,43.45598811797009
2018-07-01,male,0_19,29.415963047884993
2018-08-01,male,0_19,36.94623774478828
2018-09-01,male,0_19,30.561752993809957
2018-10-01,male,0_19,25.006404661955866
2018-11-01,male,0_19,21.714101279486513
2018-12-01,male,0_19,31.45230730054401
2019-01-01,male,0_19,38.229687120679365
2019-02-01,male,0_19,40.31589730707848
2019-03-01,male,0_19,31.445423505538677
2019-04-01,male,0_19,46.35064652489951
2019-05-01,male,0_19,43.290825909029614
2019-06-01,male,0_19,34.29818783910633
2019-07-01,male,0_19,28.215859257771562
2019-08-01,male,0_19,38.30130613700779
2019-09-01,male,0_19,49.33984574985432
2019-10-01,male,0_19,36.22101605202373
2019-11-01,male,0_19,28.22487975733359
2019-12-01,male,0_19,30.18700490096114
2020-01-01,male,0_19,35.22787466205403
2020-02-01,male,0_19,26.092696197423003
2020-03-01,male,0_19,30.043006513026196
2020-04-01,male,0_19,31.142187316192956
2020-05-01,male,0_19,35.152815891242426
2020-06-01,male,0_19,44.153094845388395
2020-07-01,male,0_19,39.05806442455405
2020-08-01,male,0_19,52.117581049114136
2020-09-01,male,0_19,56.21700501163201
2020-10-01,male,0_19,45.06255267288219
2020-11-01,male,0_19,47.14522706892452
2020-12-01,male,0_19,26.118053530948195
2021-01-01,male,0_19,42.03914259086673
2021-02-01,male,0_19,30.0873786407767
2021-03-01,male,0_19,33.165
2021-04-01,male,0_19,38.170556552962296
2021-05-01,male,0_19,41.186025408348456
2021-06-01,male,0_19,31.056312443233423
2009-01-01,male,20_29,209.793633300593
2009-02-01,male,20_29,182.27099932104133
2009-03-01,male,20_29,249.44406723558916
2009-04-01,male,20_29,221.05393640688357
2009-05-01,male,20_29,218.73830168079786
2009-06-01,male,20_29,191.46122400968727
2009-07-01,male,20_29,215.09882528397813
2009-08-01,male,20_29,191.6663754366336
2009-09-01,male,20_29,191.79836214873856
2009-10-01,male,20_29,197.54845434613625
2009-11-01,male,20_29,185.7702068826672
2009-12-01,male,20_29,186.8875288408704
2010-01-01,male,20_29,183.54359408795128
2010-02-01,male,20_29,210.1138549522045
2010-03-01,male,20_29,233.32596125701946
2010-04-01,male,20_29,219.7883673466362
2010-05-01,male,20_29,184.86583331249844
2010-06-01,male,20_29,207.59699421456472
2010-07-01,male,20_29,192.27514635737901
2010-08-01,male,20_29,199.94300653532173
2010-09-01,male,20_29,184.82026595343925
2010-10-01,male,20_29,199.55459485274207
2010-11-01,male,20_29,200.58810982422466
2010-12-01,male,20_29,157.91143877922178
2011-01-01,male,20_29,177.47599646640816
2011-02-01,male,20_29,163.26524624638841
2011-03-01,male,20_29,207.44120444679137
2011-04-01,male,20_29,188.74066678064847
2011-05-01,male,20_29,249.08669487933844
2011-06-01,male,20_29,197.49533581059276
2011-07-01,male,20_29,173.1156274818064
2011-08-01,male,20_29,181.44462764838013
2011-09-01,male,20_29,177.2318017745139
2011-10-01,male,20_29,182.77404880417475
2011-11-01,male,20_29,164.6337377493466
2011-12-01,male,20_29,164.94184437108453
2012-01-01,male,20_29,181.4261276348506
2012-02-01,male,20_29,176.36103796567096
2012-03-01,male,20_29,245.85930280285726
2012-04-01,male,20_29,208.60799570048152
2012-05-01,male,20_29,184.47337225433083
2012-06-01,male,20_29,172.19870016754737
2012-07-01,male,20_29,189.6886425072636
2012-08-01,male,20_29,174.2858770164819
2012-09-01,male,20_29,181.33713207784112
2012-10-01,male,20_29,163.13432043116245
2012-11-01,male,20_29,155.47276701254262
2012-12-01,male,20_29,160.6574952361623
2013-01-01,male,20_29,179.42255793387392
2013-02-01,male,20_29,143.36478249499862
2013-03-01,male,20_29,200.90993903152554
2013-04-01,male,20_29,205.6209796232704
2013-05-01,male,20_29,197.67783369789555
2013-06-01,male,20_29,145.1230160278931
2013-07-01,male,20_29,172.27104868492737
2013-08-01,male,20_29,158.19977971969539
2013-09-01,male,20_29,178.89663203896194
2013-10-01,male,20_29,157.95389257605558
2013-11-01,male,20_29,133.26985343920967
2013-12-01,male,20_29,162.99223840158996
2014-01-01,male,20_29,173.7839905177255
2014-02-01,male,20_29,172.89601688545466
2014-03-01,male,20_29,187.9320492178066
2014-04-01,male,20_29,169.34945957877252
2014-05-01,male,20_29,176.04892830328535
2014-06-01,male,20_29,170.43823652023983
2014-07-01,male,20_29,169.358139212182
2014-08-01,male,20_29,142.59391489017713
2014-09-01,male,20_29,180.37087149133268
2014-10-01,male,20_29,145.7135069009599
2014-11-01,male,20_29,146.80997908773537
2014-12-01,male,20_29,118.01879371595486
2015-01-01,male,20_29,144.01972520034613
2015-02-01,male,20_29,121.61431461398176
2015-03-01,male,20_29,180.57314367744888
2015-04-01,male,20_29,141.0758784717857
2015-05-01,male,20_29,166.57157742888978
2015-06-01,male,20_29,166.31535922403341
2015-07-01,male,20_29,130.15250154595148
2015-08-01,male,20_29,145.8181411653781
2015-09-01,male,20_29,114.47369159970235
2015-10-01,male,20_29,150.9692830445083
2015-11-01,male,20_29,150.88746869985465
2015-12-01,male,20_29,128.23370192083752
2016-01-01,male,20_29,145.55242834920577
2016-02-01,male,20_29,126.47564195466109
2016-03-01,male,20_29,152.25823622409177
2016-04-01,male,20_29,158.98065825706414
2016-05-01,male,20_29,150.95599834606588
2016-06-01,male,20_29,142.41666003473924
2016-07-01,male,20_29,138.41102096212435
2016-08-01,male,20_29,127.10335210428134
2016-09-01,male,20_29,136.52191698227352
2016-10-01,male,20_29,135.88643918032108
2016-11-01,male,20_29,114.38985926875613
2016-12-01,male,20_29,130.5104868018376
2017-01-01,male,20_29,137.43612017117442
2017-02-01,male,20_29,142.52297258556123
2017-03-01,male,20_29,148.94159457677074
2017-04-01,male,20_29,150.14650652692328
2017-05-01,male,20_29,154.67661796105196
2017-06-01,male,20_29,119.81069924581173
2017-07-01,male,20_29,121.1135527643972
2017-08-01,male,20_29,129.6338145927856
2017-09-01,male,20_29,132.86786966751285
2017-10-01,male,20_29,151.73066333220768
2017-11-01,male,20_29,107.8755966538364
2017-12-01,male,20_29,115.57274606692192
2018-01-01,male,20_29,121.23105376806865
2018-02-01,male,20_29,111.4909856609748
2018-03-01,male,20_29,155.83598076340994
2018-04-01,male,20_29,110.89469874557467
2018-05-01,male,20_29,129.13275671007784
2018-06-01,male,20_29,144.34401153255322
2018-07-01,male,20_29,129.5161005262307
2018-08-01,male,20_29,131.35123650530844
2018-09-01,male,20_29,117.760997887098
2018-10-01,male,20_29,149.88562970701474
2018-11-01,male,20_29,122.55973087055605
2018-12-01,male,20_29,119.18035896054323
2019-01-01,male,20_29,139.77017012596906
2019-02-01,male,20_29,121.76314175906282
2019-03-01,male,20_29,154.20233922368945
2019-04-01,male,20_29,136.94620237690614
2019-05-01,male,20_29,121.62613951948104
2019-06-01,male,20_29,133.0398704861265
2019-07-01,male,20_29,138.9869665978774
2019-08-01,male,20_29,125.8258674810133
2019-09-01,male,20_29,122.66067154342022
2019-10-01,male,20_29,95.21475228976813
2019-11-01,male,20_29,101.48277385845981
2019-12-01,male,20_29,96.23668088017766
2020-01-01,male,20_29,141.75566283482624
2020-02-01,male,20_29,121.0040175173093
2020-03-01,male,20_29,144.08464481151213
2020-04-01,male,20_29,123.1629287738164
2020-05-01,male,20_29,125.17119699212525
2020-06-01,male,20_29,109.80938212321972
2020-07-01,male,20_29,157.2841744709519
2020-08-01,male,20_29,174.66929702078198
2020-09-01,male,20_29,185.12210684357137
2020-10-01,male,20_29,152.19547963864048
2020-11-01,male,20_29,141.2738864460352
2020-12-01,male,20_29,113.99681064913149
2021-01-01,male,20_29,145.13513513513513
2021-02-01,male,20_29,144.41941747572815
2021-03-01,male,20_29,137.685
2021-04-01,male,20_29,145.6508078994614
2021-05-01,male,20_29,137.62159709618874
2021-06-01,male,20_29,129.23433242506812
2009-01-01,male,30_39,275.0032029755849
2009-02-01,male,30_39,274.44628149708325
2009-03-01,male,30_39,374.3491386855602
2009-04-01,male,30_39,304.1246570826046
2009-05-01,male,30_39,316.8429951386698
2009-06-01,male,30_39,283.6408146366474
2009-07-01,male,30_39,251.73575359519143
