date,pre_covid,post_covid
2020-03-31,2.3785714285714300,
2020-06-30,2.3785714285714300,
2020-09-30,2.3785714285714300,
2020-12-31,2.392857142857140,
2021-03-31,2.4071428571428600,
2021-06-30,2.3857142857142900,2.8684210526315800
2021-09-30,2.371428571428570,2.889473684210530
2021-12-31,2.364285714285710,2.8631578947368400
2022-03-31,2.3642857142857100,2.8263157894736800
2022-06-30,2.371428571428570,2.6736842105263200
2022-09-30,2.371428571428570,2.6421052631579000
2022-12-31,2.371428571428570,2.5842105263157900
2023-03-31,2.371428571428570,2.568421052631580
