date,0
2020-03-01,-11.753028317163398
2020-04-01,-135.27148493804566
2020-05-01,-155.09867446421822
2020-06-01,-43.676368781177416
2020-07-01,52.09795781238927
2020-08-01,159.07895865607838
2020-09-01,132.05274969884135
2020-10-01,281.58480874987254
2020-11-01,211.47324244780043
2020-12-01,55.83920752649874
2021-01-01,-41.01274179064171
2021-02-01,4.805224735596084
2021-03-01,-59.84208037933149
2021-04-01,-19.424746745077755
2021-05-01,-111.42757110304979
2021-06-01,14.652858606828204
2021-07-01,-63.470607077262684
