,lower_bound,upper_bound
2008-01-01,371.0972283487566,450.84948818265246
2008-02-01,329.02433537721976,411.072253241836
2008-03-01,404.6898881105531,498.6031248886772
2008-04-01,385.8469511482386,479.8217310944164
2008-05-01,399.71693684842495,494.9128327418337
2008-06-01,375.2654116937234,470.88514568168273
2008-07-01,327.6944550212888,425.6253354899615
2008-08-01,314.5522354825398,405.9141360205259
2008-09-01,285.9223576343954,377.6551585740494
2008-10-01,327.2913116757118,416.76346098033395
2008-11-01,332.39282097671025,412.32955228262665
2008-12-01,310.5536756926766,380.60422754346257
2009-01-01,366.3385890008932,423.2081342906189
2009-02-01,333.5476894350635,384.85788723074904
2009-03-01,415.49885072090234,465.36019669352225
2009-04-01,395.18919341311675,444.36604380807046
2009-05-01,411.50835174933616,459.578426924866
2009-06-01,387.66280709146434,435.39364446040696
2009-07-01,349.5866878516886,397.5157350702171
2009-08-01,331.28357873704834,378.9795411619272
2009-09-01,307.9853390027472,356.5042983656555
2009-10-01,343.7695010502857,391.73348628816984
2009-11-01,339.7996247481817,387.6017156993704
2009-12-01,312.16277436664194,359.7323584891889
2010-01-01,361.2017073727188,402.7501864664777
2010-02-01,326.5289380764535,368.1812488842602
2010-03-01,401.2655429971217,443.1021485856649
2010-04-01,377.894099866896,419.84236725478513
2010-05-01,392.4887848353851,434.0823815705819
2010-06-01,367.72725952751296,409.6931047026693
2010-07-01,332.53715985706253,373.5023060503197
2010-08-01,315.3487711900695,356.7543980964662
2010-09-01,296.0286331021956,337.84687802671
2010-10-01,328.59848343594416,370.5215880360924
2010-11-01,322.87968924944545,364.5729787633674
2010-12-01,297.79561486275213,339.1589763749736
2011-01-01,342.5172367523211,381.47498406925104
2011-02-01,310.55439598077623,346.1338905753162
2011-03-01,381.1121374867719,416.36577111840955
2011-04-01,355.2057248167856,390.3307006818869
2011-05-01,369.1901595748853,404.24616343905376
2011-06-01,344.15150422916213,379.17094148510193
2011-07-01,316.12483305667104,351.1444154134757
2011-08-01,296.6785561741047,332.1568251218176
2011-09-01,278.1213214424431,316.59833270522324
2011-10-01,310.1639246124809,345.83191242267736
2011-11-01,303.5897200681442,338.77537032406246
2011-12-01,281.73090104198945,316.7498709141237
2012-01-01,323.5637317542293,355.94966569749425
