,lower_bound,upper_bound
2008-01-01,250.86220400827705,308.8805424918906
2008-02-01,198.300055722615,256.38215972290413
2008-03-01,272.12752792708557,336.24878563285733
2008-04-01,230.61408123604835,298.5306770648147
2008-05-01,218.75355559528182,285.47565037120955
2008-06-01,221.86155171193028,286.3697284268372
2008-07-01,196.58239699785042,261.4260781316352
2008-08-01,216.66883826173472,279.515446642607
2008-09-01,177.60189879064333,240.57020799473068
2008-10-01,240.40663142161398,298.6885712358131
2008-11-01,205.08968138844074,260.43337075709957
2008-12-01,198.8767250207523,249.37833236061448
2009-01-01,255.56455445859183,297.94137307066774
2009-02-01,207.57595247255693,248.78880685282985
2009-03-01,280.82511767359716,324.461606015575
2009-04-01,248.3258640296638,291.08959135025776
2009-05-01,242.24871734039576,283.50733582313404
2009-06-01,242.64697663192322,283.86131919039866
2009-07-01,222.24021547633515,263.6889632177819
2009-08-01,234.82501448227794,275.92421844549636
2009-09-01,200.6340035796389,241.74886989371254
2009-10-01,251.4171526291323,292.5118296665778
2009-11-01,217.53686663582025,258.7583875762596
2009-12-01,203.90534037332333,244.99786592753344
2010-01-01,255.64791004389184,288.46294362880536
2010-02-01,211.07960775022931,243.68513534972536
2010-03-01,277.39282412872,312.94971259069325
2010-04-01,243.2159045085706,279.0213047529503
2010-05-01,237.88494011368866,273.4175512481379
2010-06-01,230.75495677106656,266.308928055917
2010-07-01,211.1961501434969,247.08010235946765
2010-08-01,225.74329006735903,261.2983544072671
2010-09-01,199.78537291721395,235.71207563580813
2010-10-01,242.91106148171397,278.66303905026405
2010-11-01,212.73253574617763,249.3193025431197
2010-12-01,201.70518544040058,238.42304878639132
2011-01-01,251.31237911361094,281.0980285286347
2011-02-01,203.40217136958404,231.4732050330814
2011-03-01,263.1170896149309,293.3704042250367
2011-04-01,232.77730076943,263.60455406624834
2011-05-01,229.62708358524606,259.8631331155395
2011-06-01,221.58412213096275,251.69196255465235
2011-07-01,207.0997429935226,237.21298559589056
2011-08-01,211.90436187625664,243.8033649118795
2011-09-01,187.0564871864211,219.48822961389376
2011-10-01,228.69357215791862,259.06483821305983
2011-11-01,202.73087716579371,232.8505823821848
2011-12-01,194.54812164065956,225.1664495087231
2012-01-01,236.11053111312663,260.0568001215169
2012-02-01,193.77137475218407,217.96810503827382
2012-03-01,251.49493613241668,276.4879479911492
2012-04-01,227.88733933963414,252.9576736431647
2012-05-01,223.56999888221242,248.5555662762568
2012-06-01,212.05098721100168,237.0214429505726
2012-07-01,202.02913301042958,227.10410017925727
2012-08-01,209.2231079802921,234.19686714157925
2012-09-01,191.46354952702802,216.72920702173212
2012-10-01,220.24045192229642,245.1884815935632
2012-11-01,195.0824054262193,220.02878542249803
2012-12-01,186.79165073112057,211.75435690571135
2013-01-01,230.32027348751203,251.63777431465812
2013-02-01,192.71013812065374,216.46096456891232
2013-03-01,243.43022868202826,266.6035429506606
2013-04-01,218.72357806274601,239.2766871158584
2013-05-01,219.00985421349912,239.6357956763901
2013-06-01,201.86425154481947,222.12734678050106
2013-07-01,193.68023052948126,213.93462476815466
2013-08-01,200.6204049078678,221.01461286765175
2013-09-01,184.32854961193937,204.71988564481268
2013-10-01,208.80316100799234,229.0324126688978
2013-11-01,188.49416442247116,208.73885753674892
2013-12-01,181.22272223197453,201.58665405006965
2014-01-01,214.6797229864355,231.55915989332797
2014-02-01,178.72159060842424,195.5807890888838
2014-03-01,222.41012852558845,240.4751341408471
2014-04-01,203.10775122690146,220.98155679416837
2014-05-01,208.04844586079426,224.819999676861
2014-06-01,189.09465619049712,205.70102967896588
2014-07-01,185.4270399447766,202.1068484468086
2014-08-01,187.11558067179152,204.25545182165735
2014-09-01,179.15080020168102,195.89263924207262
2014-10-01,197.96349895180995,214.29541635814567
2014-11-01,179.11338104382253,195.63440608377886
2014-12-01,168.73557832933204,187.12154897673526
2015-01-01,206.87679074913223,220.8257486648294
2015-02-01,172.20494264730917,186.07255293682317
2015-03-01,213.69759463201473,227.74728443969286
2015-04-01,195.2086920727747,209.40095172684474
2015-05-01,202.22718357836126,216.22751706379867
2015-06-01,180.0061165991043,194.12387104752315
2015-07-01,179.8964201418305,193.9473947096095
2015-08-01,178.18761181791413,192.42540444709593
2015-09-01,176.83428636274246,191.09318911523448
2015-10-01,185.72343898861013,199.70608313971812
2015-11-01,172.64671757079836,186.73741600454824
2015-12-01,167.65701001743946,182.06176755471802
2016-01-01,194.258965475807,207.1402414230067
2016-02-01,162.17295558374312,175.44785025145407
2016-03-01,196.25144292868578,210.73661260135344
2016-04-01,185.77186955559247,200.1279079878959
2016-05-01,192.7416679777713,206.7262005224094
2016-06-01,166.80557953814156,180.79734628337093
2016-07-01,168.46139078166544,182.87149324151454
2016-08-01,168.7671670398969,182.8638955348075
2016-09-01,169.37651647314163,183.36637012236508
2016-10-01,173.12908427366696,187.19027625585628
2016-11-01,163.43571222682053,177.7053241125042
2016-12-01,160.13812945216824,175.75700767376043
2017-01-01,181.9971825089884,195.82465976431072
2017-02-01,154.20701745481378,168.03156198938316
2017-03-01,179.30329011876185,196.48994189695443
2017-04-01,169.891434623177,186.4774449811422
2017-05-01,183.8675447288008,200.74911024790828
2017-06-01,150.54692924453803,167.43752388456545
2017-07-01,161.90754066937782,178.9274002734915
2017-08-01,156.9378281047099,173.78657539573143
2017-09-01,160.773564509503,177.16814353949115
2017-10-01,156.54768532021404,173.15568291359745
2017-11-01,149.6762891420853,166.38288326755975
2017-12-01,145.0265337262282,162.312767120532
2018-01-01,163.35924276193526,181.7424635187582
2018-02-01,139.80543781482731,157.2780817934655
2018-03-01,164.6494826056569,184.92372435385207
2018-04-01,158.41531374808815,178.75763562274446
2018-05-01,167.1556195705674,188.56428106429485
2018-06-01,137.31550972444683,157.62795630066097
2018-07-01,149.72673561400592,169.99889999270363
2018-08-01,140.98335286805167,161.2780335939035
2018-09-01,151.300798685478,171.80877702011063
2018-10-01,142.85506829661963,163.07400845625082
2018-11-01,140.5171978781587,160.7834694986609
2018-12-01,136.2463018797411,156.6636602794428
2019-01-01,154.77181342401892,174.5345210229751
2019-02-01,132.3931937978932,152.1465886054077
2019-03-01,150.9279707017327,176.91031665300915
2019-04-01,143.54446881726108,168.50224250617424
2019-05-01,160.62417972027066,185.7515000691281
2019-06-01,125.06736834437095,150.37812301862732
2019-07-01,136.66153934457154,161.6955544642158
2019-08-01,127.82070828722578,152.76349152458556
2019-09-01,145.78617732688465,171.04264157589225
2019-10-01,127.88925398316735,152.86903668838306
2019-11-01,127.70680174538822,152.65281371750226
2019-12-01,128.08984540882142,153.22293917190046
2020-01-01,142.1322069033691,166.3420435231993
2020-02-01,122.84376023547392,147.1891614237036
2020-03-01,126.84264798156795,157.84496849445753
2020-04-01,127.48902616921347,157.68875227396668
2020-05-01,146.34268595672577,176.542426964361
2020-06-01,106.39963968337823,136.70979689794194
2020-07-01,125.14098611717691,155.31305659999816
2020-08-01,113.60084667319208,143.71196290045228
2020-09-01,135.25481086996857,165.36684297905842
2020-10-01,111.63404094704596,141.7444121546837
2020-11-01,115.01974367346493,145.16350824195587
2020-12-01,114.32177207183267,144.56212493431948
2021-01-01,124.68599536634197,152.86782307120353
2021-02-01,107.96389575004987,136.13702001518106
2021-03-01,113.33351278384887,148.86180157154584
2021-04-01,116.52243925865672,152.58678216449607
2021-05-01,137.86737807212876,173.8512180345242
2021-06-01,94.56523729025633,130.33256669498056
2021-07-01,116.74914994120246,152.74525327732374
2021-08-01,102.59534050751796,138.8988832079607
2021-09-01,129.10777495810873,165.59066704931422
2021-10-01,98.60750293142218,134.95914489733454
2021-11-01,105.53554021230471,141.42835564094156
2021-12-01,105.87105915974158,141.5430088560291
2022-01-01,112.96419920640378,145.7376319444186
2022-02-01,98.93895218348209,131.71227401304813
2022-03-01,98.3714826967992,140.0768808965249
2022-04-01,104.40408705041284,147.76377829779963
2022-05-01,128.437237692411,171.62389213141742
2022-06-01,81.86745276405695,124.5459689204363
2022-07-01,107.60883018954468,150.87138358940058
2022-08-01,90.94308618163527,134.89620149847394
2022-09-01,122.43340892886656,166.72367082347697
2022-10-01,85.18643934215754,129.16845256387924
2022-11-01,95.78617657457252,138.77661233048056
2022-12-01,97.2498542117811,139.62173380945177
2023-01-01,101.08383486417287,139.8024578776434
2023-02-01,89.81186052312195,128.53522486428867
2023-03-01,83.28678484090224,132.28742704527198
2023-04-01,92.05141378801589,143.77514483551656
2023-05-01,118.69644193578483,170.03452125082077
2023-06-01,68.81370506546678,119.33353408201846
2023-07-01,98.08249558671959,149.49262863451622
2023-08-01,78.87833537879754,131.3060162659504
2023-09-01,115.34478021947648,168.21638733685916
2023-10-01,71.34533337910024,123.68870272235965
2023-11-01,85.57975117584692,136.41828095822208
2023-12-01,88.16432571445402,138.00113248945203
2024-01-01,88.705387758463,134.2017167515436
2024-02-01,80.18461051333823,125.69468424214922
2024-03-01,67.82622307884974,124.76473721830315
2024-04-01,79.403999918036,140.0267020398765
2024-05-01,108.69044810244702,168.71034844692667
2024-06-01,55.48819134382711,114.39286526664273
2024-07-01,88.30001676837946,148.37001789513957
2024-08-01,66.57145388753676,127.95796172184177
2024-09-01,108.02565617483498,169.93959918548916
2024-10-01,57.280735545724184,118.43244475115111
2024-11-01,75.13919086519782,134.29408449788164
2024-12-01,78.83902195200174,136.62030643457203
