date,0
2020-03-01,5.65545673594761
2020-04-01,-201.11932356393686
2020-05-01,-178.71338597820113
2020-06-01,8.786340384190453
2020-07-01,236.61401877481376
2020-08-01,395.1585810708525
2020-09-01,365.9688467694225
2020-10-01,743.4103071856596
2020-11-01,396.3444734336658
2020-12-01,248.92119184342914
2021-01-01,52.08028305933158
2021-02-01,106.16829477256601
2021-03-01,121.18147732486545
2021-04-01,61.145793233712084
2021-05-01,0.756549754756179
2021-06-01,172.50346626301848
2021-07-01,19.248858376371572
