,actual_minus_pre,post_minus_pre_future,post_minus_pre_present
aggregate,3223.0,1447.0,1147.0
age_only,4176.0,932.0,738.0
gender_only,4027.0,1783.0,1413.0
age_gender,3982.0,1082.0,857.0
