date,0
2020-03-01,-1.360784961491504
2020-04-01,-37.948632908210584
2020-05-01,41.602081292255434
2020-06-01,95.4677710702639
2020-07-01,204.86828864190625
2020-08-01,244.19014207589578
2020-09-01,231.84694641210416
2020-10-01,447.5432603922827
2020-11-01,176.2098453747529
2020-12-01,189.5172402136866
2021-01-01,100.31642002788209
2021-02-01,102.38273645377194
2021-03-01,155.27920518880802
2021-04-01,115.74033526701777
2021-05-01,196.03272155773362
2021-06-01,213.0490731459655
2021-07-01,108.83393917721895
