,lower_bound,upper_bound
2008-01-01,270.5249690328767,324.90388027079257
2008-02-01,252.6734101180374,307.0523213589555
2008-03-01,285.80077493637856,345.0386686197509
2008-04-01,338.5525912283385,397.7904849155555
2008-05-01,400.74864525710205,459.9865389470369
2008-06-01,379.61012335347846,438.84801703866174
2008-07-01,371.9490602868345,431.1869539783193
2008-08-01,329.2209027455842,388.45879643233866
2008-09-01,378.6517599533281,437.889653643947
2008-10-01,307.48466488438135,366.72255857204254
2008-11-01,280.1567423529952,339.39463603274686
2008-12-01,244.36696784084057,303.6048615291674
2009-01-01,268.08737365815153,316.204129650022
2009-02-01,250.1829535670651,298.29970956216636
2009-03-01,285.6284306128817,337.4900838710284
2009-04-01,332.1825791917384,384.0442324543489
2009-05-01,388.94223779638355,440.80389105995914
2009-06-01,366.125142165853,417.9867954258439
2009-07-01,360.3553684781104,412.21702174381477
2009-08-01,321.67004221381654,373.53169547565625
2009-09-01,366.66513530317116,418.5267885688363
2009-10-01,302.33902509425525,354.20067835697273
2009-11-01,278.30307582242347,330.16472907739967
2009-12-01,240.75736508594102,292.61901834906195
2010-01-01,265.5707082202933,307.58344909238457
2010-02-01,247.6134269531608,289.62616782830924
2010-03-01,285.3593065533089,330.03827885838086
2010-04-01,325.71578741981625,370.394759728468
2010-05-01,377.0390505993289,421.7180229092248
2010-06-01,352.54338124256265,397.222353548691
2010-07-01,348.66489693317646,393.3438692455128
2010-08-01,314.0224019469811,358.7013742540452
2010-09-01,354.58173091828127,399.26070322845857
2010-10-01,297.0966055690782,341.7755778769557
2010-11-01,276.35262955636983,321.03160185753427
2010-12-01,237.05098259537297,281.72995490462586
2011-01-01,262.93487146772844,299.08193984945734
2011-02-01,244.92472902430202,281.07179740941024
2011-03-01,284.9381528359477,322.7385035035254
2011-04-01,319.09696598944794,356.8973166610369
2011-05-01,364.98383374458325,402.78418441617424
2011-06-01,338.8095906608061,376.60994133000423
2011-07-01,336.8223957310373,374.6227464044306
2011-08-01,306.22273202158067,344.02308269100286
2011-09-01,342.3462968748306,380.1466475466416
2011-10-01,291.70215638535905,329.50250705548257
2011-11-01,274.2501536321378,312.050504295851
2011-12-01,233.19257044711577,270.9929211178816
2012-01-01,260.11130581587696,290.7681595058131
2012-02-01,242.04830219610196,272.7051558898488
2012-03-01,284.26482039137284,315.69090687588084
2012-04-01,312.22596583268506,343.65205231999306
2012-05-01,352.67643816279246,384.1025246501688
2012-06-01,324.8236213523089,356.24970783806543
2012-07-01,324.72771580138175,356.1538022908575
2012-08-01,298.1708833689356,329.59696985520145
2012-09-01,329.85868410381613,361.2847705923739
2012-10-01,286.0555284750614,317.4816149605843
2012-11-01,271.89549898066224,303.32158546140755
2012-12-01,229.08197957118006,260.5080660588123
2013-01-01,256.979523947916,282.7625953782784
2013-02-01,238.86365915212298,264.6467305860663
2013-03-01,283.15198578269883,309.08281241233453
2013-04-01,304.91546351131404,330.846290143561
2013-05-01,339.92954041641497,365.86036704875005
2013-06-01,310.3981498801412,336.32897650979714
2013-07-01,312.19353370786985,338.1243603411481
2013-08-01,289.67953255251865,315.6103591831683
2013-09-01,316.93156916890575,342.86239580200936
2013-10-01,279.969398400198,305.90022503025364
2013-11-01,269.101342165013,295.03216879113785
2013-12-01,224.53188653073568,250.46271316425253
2014-01-01,253.33216748836338,275.2726058423353
2014-02-01,235.16344151620842,257.1038798742194
2014-03-01,281.26497062763497,303.2488984951781
2014-04-01,296.8307806440355,318.8147085130365
2014-05-01,326.4084621259714,348.39238999139735
2014-06-01,295.1984978613129,317.1824257281749
2014-07-01,298.88517106922535,320.86909893655667
2014-08-01,280.4140011893613,302.39792905787925
2014-09-01,303.2302736875088,325.21420155813865
2014-10-01,273.10908777899573,295.09301564625997
2014-11-01,265.53300480281183,287.51693266742
2014-12-01,219.20761294422184,241.19154081576133
2015-01-01,248.8634190095132,268.60400832568973
