,lower_bound,upper_bound
2008-01-01,504.0988598659622,583.5680145122983
2008-02-01,460.40040362245566,542.186882626889
2008-03-01,548.2427139030748,640.5016051703491
2008-04-01,534.3943341035406,631.1331490084879
2008-05-01,532.2223481603982,627.7580711382797
2008-06-01,510.0591319332911,603.9213841840253
2008-07-01,473.28287158641285,573.1677512020368
2008-08-01,435.88026136070135,540.2385997395115
2008-09-01,405.28521927349675,502.989209401846
2008-10-01,454.7529811916125,549.5417213488131
2008-11-01,453.72304947248176,540.0961231371292
2008-12-01,425.6719067555433,498.25048831017114
2009-01-01,486.8127080513636,550.3052573239581
2009-02-01,449.1215376839696,508.2008639949133
2009-03-01,539.3124928343346,597.3826709259632
2009-04-01,524.762568989694,581.7835015983703
2009-05-01,526.4849949380545,581.5479565078214
2009-06-01,501.09823014689164,555.9332075445477
2009-07-01,472.547098780543,527.3853678248557
2009-08-01,439.3088892205805,494.1978937337472
2009-09-01,410.1127877537542,464.76217386799976
2009-10-01,453.3628232363083,507.9507957310216
2009-11-01,447.37390164570365,502.3951340807739
2009-12-01,414.700513956606,469.2833929028905
2010-01-01,470.33582072300356,517.5123357285254
2010-02-01,432.6506960612503,479.7825780225696
2010-03-01,517.7249695363253,566.211914533184
2010-04-01,498.124939632695,548.4497465351711
2010-05-01,503.2813893338417,550.4731333142308
2010-06-01,475.2530492730309,522.3119432449304
2010-07-01,451.21082735213565,499.82627526204044
2010-08-01,419.42009338386055,467.86359376739443
2010-09-01,394.23474980758454,444.53235463737894
2010-10-01,433.21281077511156,482.6261359112937
2010-11-01,427.76775269071584,474.8228845846983
2010-12-01,397.68254058031675,444.72828378799784
2011-01-01,446.838563980357,489.9758393149916
2011-02-01,412.126351378256,453.86951267918255
2011-03-01,494.2899218525375,535.3818742190608
2011-04-01,472.0602524943389,512.4444362345722
2011-05-01,479.31460235980876,519.670035359817
2011-06-01,448.5326510545865,489.5937042712417
2011-07-01,430.12772730796826,471.053378026126
2011-08-01,399.58243258114203,440.42198305907846
2011-09-01,379.52543794872315,421.2346017016737
2011-10-01,414.3277646969903,454.64240847659545
2011-11-01,407.70671467342567,447.9223693845443
2011-12-01,380.3498967913645,420.65391104957337
2012-01-01,423.4840024341214,462.0748563513192
2012-02-01,391.194017653631,428.32961048484765
2012-03-01,469.8089307416064,505.8183830744986
2012-04-01,444.1686435231256,478.8744109888045
2012-05-01,454.7914317406046,489.3156319893958
2012-06-01,421.73620064289764,456.4405661833978
2012-07-01,407.494192083446,443.29464552607476
2012-08-01,378.6017938694003,414.7712384543493
2012-09-01,364.0635078916855,399.9854688195785
2012-10-01,392.5725659377004,429.8218096876579
2012-11-01,386.95237079514663,421.61277956657227
2012-12-01,361.89396913565446,397.8948600936249
2013-01-01,401.0737187609397,432.84524181844193
2013-02-01,370.79255640996695,401.88639727284414
2013-03-01,445.22022060603024,475.822707837914
2013-04-01,415.32318569507777,446.00883639698884
2013-05-01,429.1277489478735,460.50433023860813
2013-06-01,393.44802519735146,424.5811424650894
2013-07-01,385.16688218144276,416.16388802389844
2013-08-01,358.3942695694804,388.99980380255414
2013-09-01,348.5738236964598,379.19698260097624
2013-10-01,372.94337648439983,404.2482543964191
2013-11-01,365.5869737512857,396.30683125391073
2013-12-01,342.69500258991457,374.70498947008514
2014-01-01,376.4193797463789,405.51977102996807
2014-02-01,348.1056363074835,377.43725671478074
2014-03-01,418.2482234888936,448.36784034626294
2014-04-01,385.3616343104502,414.5613207284965
2014-05-01,402.10787379120774,432.15924602821104
2014-06-01,364.58194710329786,393.84955171873213
2014-07-01,361.36199668914406,390.62804505302955
2014-08-01,335.09105818330806,365.4425270882664
2014-09-01,330.46292245046817,360.23874376497776
2014-10-01,350.4601190149385,380.12155669664355
2014-11-01,341.40765997660304,372.92962279552665
2014-12-01,323.0728588212748,352.9200460411576
2015-01-01,351.28598604373275,379.5870093292419
2015-02-01,325.53573515373273,353.78299764102405
2015-03-01,391.1206780526658,421.72983172329526
2015-04-01,353.89230316540977,384.54623973638775
2015-05-01,374.4183215572185,405.2449485337953
2015-06-01,334.07510176200765,364.6819840109831
2015-07-01,335.5710511706184,366.4774674124674
2015-08-01,311.8539601136496,342.75533364080945
2015-09-01,311.78983512336,342.3918039918861
2015-10-01,326.4486482355025,357.9478975711964
2015-11-01,318.42186875819584,349.32208810314705
2015-12-01,302.0691721986166,332.7533810059792
2016-01-01,324.51454410339767,355.38283684772097
2016-02-01,301.1612569012451,331.8481592195494
2016-03-01,362.10204004922485,396.6730018938727
2016-04-01,321.1783129817373,355.7800585078515
2016-05-01,345.27873092796364,379.79985606667304
2016-06-01,302.0782949874062,336.8011139101156
2016-07-01,308.65219405537545,343.67468335843324
2016-08-01,286.6130712644393,321.227637565509
2016-09-01,291.0625023718733,326.11409168046714
2016-10-01,301.57697925083846,336.75658097991425
2016-11-01,293.205273535328,327.7480315769214
2016-12-01,279.0671149150191,313.91110054421637
2017-01-01,296.81477044337964,331.44687315986107
2017-02-01,275.74350008331726,310.4254226374768
2017-03-01,332.0333335454037,372.39188431801756
2017-04-01,287.2070229030721,328.0809101465655
2017-05-01,313.85469546661653,357.1566351148303
2017-06-01,269.42622434386436,310.14548418632415
2017-07-01,281.25770354734595,321.55759082619886
2017-08-01,260.4164883852311,300.87193072550883
2017-09-01,270.0325142967785,310.98015487830406
2017-10-01,276.0979229685082,316.6660644677954
2017-11-01,266.9522622480601,307.19342386129705
2017-12-01,255.6875366501816,295.91380869642705
2018-01-01,267.43623306278437,309.13774996652467
2018-02-01,248.80743972749076,290.4644678563899
2018-03-01,301.1317861619372,348.947818551339
2018-04-01,253.50150905392826,300.5741187725212
2018-05-01,282.83424445513543,332.0976066593093
2018-06-01,236.1808219085384,283.2751815624157
2018-07-01,253.0186367322453,300.54816308643024
2018-08-01,233.82918100516264,281.5140310144805
2018-09-01,248.35871272756492,295.4602234082374
2018-10-01,249.7143371403213,296.85895385771016
2018-11-01,240.07187905128976,287.230535795751
2018-12-01,231.54792642392692,278.670506707711
2019-01-01,239.90482514920183,285.8412415314596
2019-02-01,223.52691758647438,269.58882686456565
2019-03-01,270.8151559604017,325.79846084925356
2019-04-01,218.9352218585129,274.10047178285686
2019-05-01,253.13914048375392,307.7602734052452
2019-06-01,202.62099716696258,257.20522218941693
2019-07-01,224.53666368130746,279.2411863454071
2019-08-01,206.99878826500233,261.6714065318992
2019-09-01,226.24277060993847,281.1908135190433
2019-10-01,222.86403613883397,277.71915652370024
2019-11-01,212.82099635348953,267.6326446473023
2019-12-01,207.0073573674218,261.7076064388799
2020-01-01,211.02044089259712,263.6787108608317
2020-02-01,196.92851263999702,250.2219315920182
2020-03-01,239.45770506936708,302.43813083031
2020-04-01,184.15362567804874,246.8865412652865
2020-05-01,221.7573989978769,284.3379532550552
2020-06-01,168.76813306820813,231.36597924284573
2020-07-01,195.72164592622306,258.4003874859839
2020-08-01,179.7098219578,242.64188545892836
2020-09-01,203.86179536272167,266.85002003502063
2020-10-01,195.73540770513452,258.88640765419586
2020-11-01,185.28416185595216,248.37942098865238
2020-12-01,182.20092570580704,245.08874359934566
2021-01-01,181.80229714108174,241.38486689698055
2021-02-01,170.33729510818162,229.8922614182949
